period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,n_assets,n_invested,sum_w
2025-01-17,0.681435763835907,0.0017217645654454,0.675269758252643,0,40,1,1.0
2025-01-22,0.5044299960136414,-0.0023021753877401,0.48556853927331317,0,40,1,1.0
2025-01-24,0.3240315318107605,0.0113460877910256,0.30862457858481107,0,40,1,1.0
2025-01-28,0.9891695976257324,0.0155133260414004,0.9754109090297602,0,40,1,1.0
2025-01-30,0.5205386877059937,0.0037424031179398,0.5166986614280751,0,40,1,1.0
2025-02-03,0.6509056687355042,0.0081835528835654,0.6376725125560848,0,40,1,1.0
2025-02-05,0.2323816120624542,0.0163752548396587,0.22900740078825849,0,40,1,1.0
2025-02-07,1.1200019121170044,0.0283362101763486,1.114418642231847,0,40,1,1.0
2025-02-11,0.0139416176825761,-0.0003775813966058,0.012319097345365612,0,40,1,1.0
2025-02-13,0.4630059599876404,0.0164861176162958,0.45888504185997225,0,40,1,1.0
2025-02-18,0.2664448320865631,0.0156088545918464,0.25633264005859274,0,40,1,1.0
2025-02-20,0.4587682783603668,0.0111293327063322,0.4511471598055116,0,40,1,1.0
2025-02-24,0.4409408569335937,-0.0122349308803677,0.43142392549966635,0,40,1,1.0
2025-02-26,0.4510857462882995,0.0032739292364567,0.44879187441716817,0,40,1,1.0
2025-02-28,0.2114025205373764,0.0121914586052298,0.20713934440089846,0,40,1,1.0
2025-03-04,0.13749884217439284,-0.004296518289202758,0.13552061578383298,0,40,2,1.0
2025-03-06,0.7519376873970032,0.0062195253558456,0.742870738460621,0,40,1,1.0
2025-03-10,0.5371851921081543,-0.0084229493513703,0.528366772584116,0,40,1,1.0
2025-03-12,0.289664477109909,-0.0059913764707744,0.16550096079466034,1,40,1,1.0
2025-03-14,2.0235936641693115,-0.00530924834311,1.9018037856710523,1,40,1,1.0
2025-03-18,0.1248004361987114,-0.0174584612250328,0.08353410809920372,1,40,1,1.0
2025-03-20,0.39649287428053986,-7.680171323264963e-05,0.32456970400928997,1,40,2,1.0
2025-03-24,0.22133905034463258,-0.0038554261571516505,0.1337508769562601,1,40,4,1.0
2025-03-26,0.4318846454821873,-0.02035605676752919,0.39128596239348334,1,40,2,1.0
2025-03-28,0.4166164994239807,0.0029383650980889,0.19722494586216155,1,40,1,1.0
2025-04-01,0.8196607232093811,-0.0087153445929288,0.5744063844032795,1,40,1,1.0
2025-04-03,0.2874673902988434,0.0202664341777563,0.19175746071926467,1,40,1,1.0
2025-04-07,0.2638713831331642,-0.01944276287108269,0.1319519970728609,1,40,2,1.0
2025-04-09,1.653009295463562,0.0058683990500867,1.3872179977889716,1,40,1,1.0
2025-04-11,0.3221240575591349,-0.0024459275839513748,0.2725118440041205,1,40,2,1.0
2025-04-15,0.5070832371711731,0.0043278350494802,0.3802246189886047,1,40,1,1.0
2025-04-17,0.6197133471511064,-0.009367988687064364,0.3337879959590713,1,40,2,1.0
2025-04-22,0.818858008629223,0.02124931865145741,0.6179651466983421,1,40,2,1.0
2025-04-24,0.27650839358519974,0.037502759828111736,0.2024874245133986,1,40,2,1.0
2025-04-28,0.2319929457453546,0.007712506468006267,0.14178555010124458,1,40,2,1.0
2025-04-30,0.614204219613267,-0.007829462668514036,0.37427343109767824,1,40,2,1.0
2025-05-02,1.0102181434631348,-0.0062326500192284,0.6997713493236586,1,40,1,1.0
2025-05-06,0.2552000794252807,-0.0021575012265042898,0.18656194839496434,1,40,2,1.0
2025-05-08,0.8789775574475921,-0.005342041600872587,0.5750030987326786,1,40,2,1.0
2025-05-12,1.2606152296066284,-0.0088528245687484,0.9287232046927295,1,40,1,1.0
2025-05-14,0.4537976682186126,-0.0183446127921342,0.30715490440559334,1,40,1,1.0
2025-05-16,0.3850468194730242,-0.00097069091029266,0.27970596679183707,1,40,4,1.0
2025-05-20,0.3112591848533882,0.010204647542725022,0.18857965399517082,1,40,4,0.9999999999999999
2025-05-22,0.2607419192790985,0.0220949053764343,0.1935119898955446,1,40,1,1.0
2025-05-27,0.5447885757716725,-0.009362652864380955,0.1937241442058234,1,40,2,1.0
2025-05-29,1.712263584136963,0.0020435664337128,1.3841945224874825,1,40,1,1.0
2025-06-02,1.7049669027328491,-0.0093501945957541,1.4033094782190996,1,40,1,1.0
2025-06-04,0.3819355964660644,0.0018890406936407,0.2642765690047702,1,40,1,1.0
2025-06-06,1.1185257272081968,-0.0013154723689774031,0.9005086557249391,1,40,2,0.9999999999999999
2025-06-10,1.2293245792388916,-0.0039874394424259,0.8446342684034029,1,40,1,1.0
2025-06-12,1.3458727283684244,0.0012997531402269703,0.9493189810064714,1,40,2,1.0
2025-06-16,0.10992603677485688,0.0025903521434489244,0.08175802373396299,1,40,5,1.0
2025-06-18,1.4881058931350708,-0.0060576479882001,1.0719104379855002,1,40,1,1.0
2025-06-23,1.342218041419983,0.0049078315496444,0.9083484600174094,1,40,1,1.0
2025-06-25,0.5294318199157715,0.0094070229679346,0.22130396296085178,1,40,1,1.0
2025-06-27,0.7811916070582613,-0.007969397282457932,0.5661395677745379,1,40,2,1.0
2025-07-01,0.09883696442437083,0.002607335355967087,0.065295047132706,1,40,3,1.0
2025-07-03,0.27589228897464024,0.004063370617062959,0.172855988436182,1,40,2,1.0
