period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w
2024-01-08,0.08726667,0.02567403,0.07043658,0,0.00000000,1.00000000,20,1,1.00000000
2024-01-10,0.00876287,-0.00250522,0.00849154,0,0.00000000,1.00000000,20,3,1.00000000
2024-01-12,0.02042660,-0.02169095,0.01611978,0,0.00000000,1.00000000,20,3,1.00000000
2024-01-17,0.03278233,0.00197516,0.01680423,0,0.00000000,1.00000000,20,1,1.00000000
2024-01-19,0.03305167,0.00885961,0.02119025,0,0.00000000,1.00000000,20,2,1.00000000
2024-01-23,0.03947849,0.00342707,0.02493673,0,0.00000000,1.00000000,20,1,1.00000000
2024-01-25,0.14094101,0.00255618,0.11730892,0,0.00000000,1.00000000,20,1,1.00000000
2024-01-29,0.03196877,0.01145051,0.02427615,0,0.00000000,1.00000000,20,1,1.00000000
2024-01-31,0.09137844,-0.00725965,0.07925871,0,0.00000000,1.00000000,20,1,1.00000000
2024-02-02,0.02118863,-0.00901149,0.01141317,0,0.00000000,1.00000000,20,3,1.00000000
2024-02-06,0.08535887,-0.00678957,0.06357206,0,0.00000000,1.00000000,20,1,1.00000000
2024-02-08,0.01701068,0.00220732,0.00251702,0,0.00000000,1.00000000,20,3,1.00000000
2024-02-12,0.13922526,-0.01265861,0.12582514,0,0.00000000,1.00000000,20,1,1.00000000
2024-02-14,0.01436392,-0.00030479,0.00224389,0,0.00000000,1.00000000,20,3,1.00000000
2024-02-16,0.03848932,-0.00359698,0.02284706,0,0.00000000,1.00000000,20,2,1.00000000
2024-02-21,0.18369010,-0.01109749,0.17128216,0,0.00000000,1.00000000,20,1,1.00000000
2024-02-23,0.04586747,0.01207868,0.03387862,0,0.00000000,1.00000000,20,2,1.00000000
2024-02-27,0.15204999,0.00443366,0.13839674,0,0.00000000,1.00000000,20,1,1.00000000
2024-02-29,0.05565694,-0.00814615,0.04587235,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-04,0.05580681,0.00122400,0.04275266,0,0.00000000,1.00000000,20,2,1.00000000
2024-03-06,0.06692314,0.00221839,0.05416628,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-08,0.04843124,-0.00127284,0.03569973,0,0.00000000,1.00000000,20,2,1.00000000
2024-03-12,0.11860663,-0.01599154,0.10641010,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-14,0.04568993,-0.01547591,0.03687769,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-18,0.05149856,-0.00111521,0.04187665,0,0.00000000,1.00000000,20,3,1.00000000
2024-03-20,0.15156914,0.01688573,0.12685969,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-22,0.18710455,-0.00633827,0.17483563,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-26,0.04876212,0.00448634,0.03678784,0,0.00000000,1.00000000,20,1,1.00000000
2024-03-28,0.04515008,0.00282610,0.03325229,0,0.00000000,1.00000000,20,3,1.00000000
2024-04-02,0.07185893,-0.00501699,0.05148252,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-04,0.15138961,-0.01609504,0.13927811,0,0.00000000,1.00000000,20,1,1.00000000
2024-04-08,0.11693250,-0.00483428,0.10490204,0,0.00000000,1.00000000,20,2,1.00000000
2024-04-10,0.01207064,-0.00845927,0.00930602,0,0.00000000,1.00000000,20,5,1.00000000
2024-04-12,0.02328862,-0.01282856,0.01027851,0,0.00000000,1.00000000,20,3,1.00000000
2024-04-16,0.13768987,-0.01113601,0.12491976,0,0.00000000,1.00000000,20,1,1.00000000
