period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,n_assets,n_invested,sum_w
2025-01-17,0.68143576,0.00172176,0.67526976,0,40,1,1.00000000
2025-01-22,0.50443000,-0.00230218,0.48556854,0,40,1,1.00000000
2025-01-24,0.32403153,0.01134609,0.30862458,0,40,1,1.00000000
2025-01-28,0.98916960,0.01551333,0.97541091,0,40,1,1.00000000
2025-01-30,0.52053869,0.00374240,0.51669866,0,40,1,1.00000000
2025-02-03,0.65090567,0.00818355,0.63767251,0,40,1,1.00000000
2025-02-05,0.23238161,0.01637525,0.22900740,0,40,1,1.00000000
2025-02-07,1.12000191,0.02833621,1.11441864,0,40,1,1.00000000
2025-02-11,0.01394162,-0.00037758,0.01231910,0,40,1,1.00000000
2025-02-13,0.46300596,0.01648612,0.45888504,0,40,1,1.00000000
2025-02-18,0.26644483,0.01560885,0.25633264,0,40,1,1.00000000
2025-02-20,0.45876828,0.01112933,0.45114716,0,40,1,1.00000000
2025-02-24,0.44094086,-0.01223493,0.43142393,0,40,1,1.00000000
2025-02-26,0.45108575,0.00327393,0.44879187,0,40,1,1.00000000
2025-02-28,0.21140252,0.01219146,0.20713934,0,40,1,1.00000000
2025-03-04,0.13749884,-0.00429652,0.13552062,0,40,2,1.00000000
2025-03-06,0.75193769,0.00621953,0.74287074,0,40,1,1.00000000
2025-03-10,0.53718519,-0.00842295,0.52836677,0,40,1,1.00000000
2025-03-12,0.28966448,-0.00599138,0.16550096,1,40,1,1.00000000
2025-03-14,2.02359366,-0.00530925,1.90180379,1,40,1,1.00000000
2025-03-18,0.12480044,-0.01745846,0.08353411,1,40,1,1.00000000
2025-03-20,0.39649287,-0.00007680,0.32456970,1,40,2,1.00000000
2025-03-24,0.22133905,-0.00385543,0.13375088,1,40,4,1.00000000
2025-03-26,0.43188465,-0.02035606,0.39128596,1,40,2,1.00000000
2025-03-28,0.41661650,0.00293837,0.19722495,1,40,1,1.00000000
2025-04-01,0.81966072,-0.00871534,0.57440638,1,40,1,1.00000000
2025-04-03,0.28746739,0.02026643,0.19175746,1,40,1,1.00000000
2025-04-07,0.26387138,-0.01944276,0.13195200,1,40,2,1.00000000
2025-04-09,1.65300930,0.00586840,1.38721800,1,40,1,1.00000000
2025-04-11,0.32212406,-0.00244593,0.27251184,1,40,2,1.00000000
2025-04-15,0.50708324,0.00432784,0.38022462,1,40,1,1.00000000
2025-04-17,0.61971335,-0.00936799,0.33378800,1,40,2,1.00000000
2025-04-22,0.81885801,0.02124932,0.61796515,1,40,2,1.00000000
2025-04-24,0.27650839,0.03750276,0.20248742,1,40,2,1.00000000
2025-04-28,0.23199295,0.00771251,0.14178555,1,40,2,1.00000000
2025-04-30,0.61420422,-0.00782946,0.37427343,1,40,2,1.00000000
2025-05-02,1.01021814,-0.00623265,0.69977135,1,40,1,1.00000000
2025-05-06,0.25520008,-0.00215750,0.18656195,1,40,2,1.00000000
2025-05-08,0.87897756,-0.00534204,0.57500310,1,40,2,1.00000000
2025-05-12,1.26061523,-0.00885282,0.92872320,1,40,1,1.00000000
2025-05-14,0.45379767,-0.01834461,0.30715490,1,40,1,1.00000000
2025-05-16,0.38504682,-0.00097069,0.27970597,1,40,4,1.00000000
2025-05-20,0.31125918,0.01020465,0.18857965,1,40,4,1.00000000
2025-05-22,0.26074192,0.02209491,0.19351199,1,40,1,1.00000000
2025-05-27,0.54478858,-0.00936265,0.19372414,1,40,2,1.00000000
2025-05-29,1.71226358,0.00204357,1.38419452,1,40,1,1.00000000
2025-06-02,1.70496690,-0.00935019,1.40330948,1,40,1,1.00000000
2025-06-04,0.38193560,0.00188904,0.26427657,1,40,1,1.00000000
2025-06-06,1.11852573,-0.00131547,0.90050866,1,40,2,1.00000000
2025-06-10,1.22932458,-0.00398744,0.84463427,1,40,1,1.00000000
2025-06-12,1.34587273,0.00129975,0.94931898,1,40,2,1.00000000
2025-06-16,0.10992604,0.00259035,0.08175802,1,40,5,1.00000000
2025-06-18,1.48810589,-0.00605765,1.07191044,1,40,1,1.00000000
2025-06-23,1.34221804,0.00490783,0.90834846,1,40,1,1.00000000
2025-06-25,0.52943182,0.00940702,0.22130396,1,40,1,1.00000000
2025-06-27,0.78119161,-0.00796940,0.56613957,1,40,2,1.00000000
2025-07-01,0.09883696,0.00260734,0.06529505,1,40,3,1.00000000
2025-07-03,0.27589229,0.00406337,0.17285599,1,40,2,1.00000000
