period,asset,weight,expected_portfolio_return,realized_portfolio_return,objective,is_robust
2025-01-17,bonds:EMB,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:HYG,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:IEF,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:LQD,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:SHY,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:TIP,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,bonds:TLT,1.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,commodities:GC=F,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,commodities:HG=F,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,commodities:SI=F,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:AAPL,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:AMGN,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:AXP,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:BA,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:CAT,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:CRM,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:CSCO,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:CVX,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:DIS,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:DOW,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:GS,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:HD,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:HON,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:IBM,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:INTC,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:JPM,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:KO,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:MCD,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:MMM,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:MRK,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:MSFT,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:NKE,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:PFE,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:PG,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:RTX,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:TRV,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:UNH,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:V,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:VZ,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-17,dow30:WMT,0.00000000,0.68143576,0.00172176,0.67526976,0
2025-01-22,bonds:EMB,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:HYG,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:IEF,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:LQD,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:SHY,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:TIP,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,bonds:TLT,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,commodities:GC=F,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,commodities:HG=F,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,commodities:SI=F,1.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:AAPL,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:AMGN,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:AXP,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:BA,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:CAT,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:CRM,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:CSCO,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:CVX,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:DIS,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:DOW,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:GS,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:HD,0.00000000,0.50443000,-0.00230218,0.48556854,0
2025-01-22,dow30:HON,0.00000000,0.50443000,-0.00230218,0.48556854,0
