period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2024-01-08,0.08726667,0.02567403,0.07754981,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-10,0.02845500,-0.01404368,0.01289034,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-12,0.02141222,-0.01947103,0.01811982,0,0.00000000,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-17,0.03278233,0.00197516,0.02355712,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-19,0.03504232,0.01252258,0.02672216,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-23,0.03947849,0.00342707,0.03108298,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-25,0.14094101,0.00255618,0.12729699,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-29,0.03196885,0.01145003,0.02752725,0,0.00000000,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-31,0.09137844,-0.00725965,0.08438089,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-02,0.02321084,-0.00936836,0.01591692,0,0.00000000,0.57735027,20,3,1.00000000,1000.00000000,1000.00000000
2024-02-06,0.08535887,-0.00678957,0.07277988,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-08,0.02817545,0.01244418,0.01209885,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-12,0.13922526,-0.01265861,0.13148882,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-14,0.01516131,-0.00141248,0.00766152,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-16,0.03848964,-0.00359691,0.02945844,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-21,0.18369010,-0.01109749,0.17652562,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-23,0.04699677,0.01392838,0.03937093,0,0.00000000,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-02-27,0.15204999,0.00443366,0.14416736,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-29,0.05565694,-0.00814615,0.05000781,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-04,0.05580709,0.00122390,0.04827010,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-06,0.06692314,0.00221839,0.05955765,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-08,0.04843137,-0.00127287,0.04108044,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-12,0.11860663,-0.01599154,0.11156497,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-14,0.04568993,-0.01547591,0.04060220,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-18,0.05209879,-0.00105391,0.04618216,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-20,0.15156914,0.01688573,0.13730299,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-22,0.18710455,-0.00633827,0.18002145,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-26,0.04876212,0.00448634,0.04184877,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-28,0.04841384,0.00588444,0.03885913,0,0.00000000,0.57735027,20,3,1.00000000,1000.00000000,1000.00000000
2024-04-02,0.07185893,-0.00501699,0.06009457,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-04,0.15138961,-0.01609504,0.14439728,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-08,0.12060649,-0.00698717,0.11062433,0,0.00000000,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-10,0.01215687,-0.00895058,0.01049294,0,0.00000000,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-04-12,0.03068196,-0.02716870,0.01776518,0,0.00000000,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-16,0.13768987,-0.01113601,0.13031674,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-18,0.13211001,-0.00582483,0.12516298,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-22,0.11377383,0.00580740,0.10688187,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-24,0.02519901,0.00074290,0.01798300,0,0.00000000,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-26,0.12188702,0.00063809,0.04072479,1,4.40202652,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-04-30,0.01179920,-0.00721142,-0.03447039,1,4.50614646,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-05-02,0.03817075,0.00560983,-0.01909741,1,4.49308914,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-05-06,-0.00251245,0.00180772,-0.04491494,1,4.42366532,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-05-08,0.00415134,-0.00161600,-0.03510307,1,4.48961500,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-05-10,0.01382808,0.00156049,-0.02845087,1,4.49271239,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-05-14,0.01908035,0.00465416,-0.02299601,1,4.44975414,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-05-16,-0.00111164,-0.00181870,-0.04329420,1,4.46438084,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-05-20,0.17705720,0.00828942,0.08447562,1,4.63427184,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-05-22,0.00860484,-0.00393956,-0.03650143,1,4.70831522,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-05-24,0.07485352,-0.00179200,-0.03800704,1,4.47300028,0.57735027,20,4,1.00000000,1000.00000000,1000.00000000
2024-05-29,0.06771384,-0.00461364,-0.02912645,1,4.61422187,0.57735027,20,5,1.00000000,1000.00000000,1000.00000000
2024-05-31,0.01480664,0.00198319,-0.03692573,1,4.57486685,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-06-04,0.00729758,0.00229785,-0.04861482,1,4.61097338,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-06-06,0.00186179,0.00254247,-0.05421616,1,4.60471005,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-06-10,0.05244474,-0.00107197,-0.02298145,1,4.57111430,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-06-12,0.02173160,-0.00108516,-0.04012209,1,4.60601638,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-06-14,0.03897230,0.00071187,-0.03393372,1,4.53214406,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-06-18,0.02031846,0.00328391,-0.04759513,1,4.39556221,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-06-21,0.04363345,0.00296024,-0.05597508,1,4.41835989,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-06-25,0.08444711,-0.00719073,-0.02016474,1,4.47266779,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-06-27,0.07830573,0.00097814,-0.00823848,1,4.47477614,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-07-01,0.04314856,-0.00119939,-0.02225795,1,4.40017601,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-07-03,0.06174209,0.00912546,-0.02529130,1,4.48560199,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-07-08,0.00394549,-0.00130549,-0.05780621,1,4.38855373,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-07-10,0.02701907,0.00248155,-0.03743472,1,4.41800670,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-07-12,0.03529086,0.00098023,-0.03303578,1,4.62468737,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-07-16,0.01215578,0.00481105,-0.05134074,1,4.81879473,0.57735027,20,11,1.00000000,1000.00000000,1000.00000000
2024-07-18,0.00751328,-0.00316236,-0.05139990,1,4.76206110,0.57735027,20,12,1.00000000,1000.00000000,1000.00000000
2024-07-22,0.00591772,0.00093425,-0.05375388,1,4.62103553,0.57735027,20,11,1.00000000,1000.00000000,1000.00000000
2024-07-24,0.15315886,-0.00636202,0.02272734,1,4.67693182,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-07-26,0.01336210,0.00490238,-0.05236281,1,4.70291711,0.57735027,20,11,1.00000000,1000.00000000,1000.00000000
2024-07-30,0.00956316,0.00167060,-0.05247658,1,4.81757458,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-08-01,-0.00113253,-0.00067332,-0.06108568,1,4.80621444,0.57735027,20,13,1.00000000,1000.00000000,1000.00000000
2024-08-05,0.03676540,-0.01003870,-0.03463616,1,4.65958071,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-08-07,0.06680015,-0.00317601,-0.02750848,1,4.71101529,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-08-09,0.01424921,0.00361714,-0.05450147,1,4.69748006,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-08-13,0.06365393,0.00196629,-0.02681101,1,4.67802426,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-08-15,0.05296734,0.00576058,-0.02953529,1,4.59111329,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-08-19,0.07355104,0.00475549,-0.03741813,1,4.73837675,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-08-21,0.03046240,0.00223961,-0.04026616,1,4.70390281,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-08-23,0.00411405,0.00393606,-0.05279419,1,4.69134251,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-08-27,0.00311379,0.00213770,-0.05514426,1,4.60625810,0.57735027,20,13,1.00000000,1000.00000000,1000.00000000
2024-08-29,0.00192547,0.00094383,-0.05550607,1,4.70951880,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-09-03,0.31324995,-0.01923683,0.12495937,1,4.75406494,0.57735027,20,1,1.00000000,1000.00000000,1000.00000000
2024-09-05,0.00671349,0.00016950,-0.05573061,1,4.68427477,0.57735027,20,12,1.00000000,1000.00000000,1000.00000000
2024-09-09,0.08012083,0.01009113,-0.02480919,1,4.66630699,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-09-11,0.04841775,-0.00071034,-0.01635515,1,4.56335713,0.57735027,20,13,1.00000000,1000.00000000,1000.00000000
2024-09-13,-0.00706356,0.00425910,-0.06227980,1,4.48961754,0.57735027,20,12,1.00000000,1000.00000000,1000.00000000
2024-09-17,0.01245639,-0.00125753,-0.03845490,1,4.45620059,0.57735027,20,11,1.00000000,1000.00000000,1000.00000000
2024-09-19,0.08913647,0.00516266,0.00657430,1,4.43578270,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-09-23,0.01311202,-0.00100330,-0.05141246,1,4.46173235,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-09-25,0.02924913,-0.00051120,-0.04713397,1,4.51621786,0.57735027,20,10,1.00000000,1000.00000000,1000.00000000
2024-09-27,0.01606701,0.00181797,-0.04317197,1,4.51542788,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-10-01,0.02446530,-0.00217880,-0.03660968,1,4.47212561,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-10-03,0.00090650,-0.00272220,-0.05090826,1,4.50818960,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-10-07,0.16208298,-0.01378220,0.00230736,1,4.61529766,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-10-09,0.01194728,0.00085996,-0.04074068,1,4.73449739,0.57735027,20,13,1.00000000,1000.00000000,1000.00000000
2024-10-11,0.12335340,0.00388477,0.01041414,1,4.65556844,0.57735027,20,4,1.00000000,1000.00000000,1000.00000000
2024-10-15,0.00322678,-0.00062580,-0.05003119,1,4.62552263,0.57735027,20,11,1.00000000,1000.00000000,1000.00000000
2024-10-17,0.31759528,0.06782054,0.05518426,1,4.69536293,0.57735027,20,2,1.00000000,1000.00000000,1000.00000000
2024-10-21,0.01884572,-0.00458451,-0.03401232,1,4.67578175,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-10-23,0.03570324,0.00154431,-0.03814629,1,4.69987476,0.57735027,20,9,1.00000000,1000.00000000,1000.00000000
2024-10-25,0.37695217,-0.00256031,0.13389016,1,4.45811039,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-10-29,0.00506819,-0.00255125,-0.05048563,1,4.50700750,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-10-31,-0.00494652,-0.00117867,-0.06756321,1,4.67868935,0.57735027,20,5,1.00000000,1000.00000000,1000.00000000
2024-11-04,-0.00725886,0.00027263,-0.06325926,1,4.43619308,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-11-06,0.05431502,0.00909451,-0.04429440,1,4.36287118,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-11-08,0.02328200,-0.00108016,-0.03889344,1,4.50032243,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-11-12,0.00205916,-0.00145345,-0.05518913,1,4.51045994,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-11-14,0.01049880,-0.00257864,-0.06019469,1,4.51516969,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-11-18,0.00551172,0.00056931,-0.05519525,1,4.63664295,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-11-20,-0.00121288,-0.00013578,-0.06357289,1,4.75273541,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-11-22,0.01301359,0.00074700,-0.04436658,1,4.82227606,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-11-26,-0.00509384,0.00047822,-0.06542032,1,4.83769995,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-11-29,0.01206876,0.00243314,-0.04997241,1,4.62004354,0.57735027,20,8,1.00000000,1000.00000000,1000.00000000
2024-12-03,0.01952392,-0.00140534,-0.04390546,1,4.79509345,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-05,0.00391583,0.00021416,-0.05322897,1,4.49365495,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-12-09,-0.00267561,-0.00263897,-0.06020814,1,4.52783457,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-11,0.00162241,0.00027902,-0.05917853,1,4.40533699,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-13,0.08288159,-0.00715356,-0.02830946,1,4.36759253,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-17,0.02090871,-0.00155569,-0.05984923,1,4.47514522,0.57735027,20,7,1.00000000,1000.00000000,1000.00000000
2024-12-19,0.00560203,-0.00042279,-0.05522243,1,4.63679898,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-23,-0.00511896,-0.00082336,-0.06107557,1,4.61181372,0.57735027,20,5,1.00000000,1000.00000000,1000.00000000
2024-12-26,-0.00890252,0.00049652,-0.06601442,1,4.81448814,0.57735027,20,6,1.00000000,1000.00000000,1000.00000000
2024-12-30,0.01525016,0.00122589,-0.04282573,1,4.79539632,0.57735027,20,5,1.00000000,1000.00000000,1000.00000000
2025-01-02,0.00010601,0.00048826,-0.05744968,1,4.84758112,0.57735027,20,7,1.00000000,1000.48837551,1000.10601439
2025-01-06,-0.01280425,0.00131639,-0.06980126,1,4.94735668,0.57735027,20,5,1.00000000,1001.80627781,987.75953310
2025-01-08,0.05243801,0.00388989,-0.01945475,1,4.71697706,0.57735027,20,5,1.00000000,1005.71078339,1055.74075525
2025-01-13,0.02734460,0.00093509,-0.03309186,1,4.65955128,0.57735027,20,8,1.00000000,1006.65165778,1033.59099464
2025-01-15,0.07355740,0.01325064,-0.01304418,1,4.79804710,0.57735027,20,5,1.00000000,1020.07919791,1083.48969808
2025-01-17,0.01436323,0.00199890,-0.04028546,1,4.67027247,0.57735027,20,8,1.00000000,1022.12027600,1034.83655502
2025-01-22,0.00757267,-0.00126272,-0.04873611,1,4.74080744,0.57735027,20,9,1.00000000,1020.83044365,1029.88983874
2025-01-24,-0.00155066,0.00070771,-0.05556886,1,4.64945066,0.57735027,20,5,1.00000000,1021.55314851,1019.24871026
2025-01-28,0.05121543,0.00634826,-0.04298519,1,4.42236222,0.57735027,20,7,1.00000000,1028.05886151,1075.23538277
2025-01-30,0.01480004,0.00084452,-0.04404317,1,4.75646698,0.57735027,20,3,1.00000000,1028.92744626,1043.38732289
2025-02-03,0.03012574,0.00355494,-0.03112682,1,4.56145026,0.57735027,20,8,1.00000000,1032.59172883,1060.39628272
2025-02-05,0.01295038,0.00578307,-0.04425181,1,4.42974231,0.57735027,20,8,1.00000000,1038.58058400,1046.05114768
2025-02-07,0.03467486,-0.00333420,-0.03260372,1,4.48902383,0.57735027,20,6,1.00000000,1035.12351276,1075.22486395
2025-02-11,0.00710242,-0.00002142,-0.04615037,1,4.56205572,0.57735027,20,7,1.00000000,1035.10134324,1042.50155957
2025-02-13,0.03827929,0.00783018,-0.03190764,1,4.69521430,0.57735027,20,8,1.00000000,1043.23818620,1075.49243187
2025-02-18,0.02229364,-0.00353626,-0.03517972,1,4.68475904,0.57735027,20,9,1.00000000,1039.55554117,1066.75694827
2025-02-20,0.00383694,-0.00010598,-0.04501244,1,4.82680544,0.57735027,20,7,1.00000000,1039.44537574,1043.55191968
2025-02-24,0.00398140,0.00200148,-0.04428359,1,4.89613832,0.57735027,20,9,1.00000000,1041.52788508,1043.59207390
2025-02-26,0.02585933,0.00182294,-0.02334554,1,4.81721894,0.57735027,20,10,1.00000000,1043.42826338,1068.81235311
2025-02-28,0.11485010,0.01505104,0.01613325,1,4.67458620,0.57735027,20,6,1.00000000,1059.25172372,1170.41899082
2025-03-04,-0.00363943,-0.00600411,-0.03810961,1,4.83386529,0.57735027,20,13,1.00000000,1052.91091306,1055.40365929
2025-03-06,0.02759008,-0.00405080,-0.01378062,1,4.85046480,0.57735027,20,11,1.00000000,1048.65440406,1082.36526692
2025-03-10,0.00832151,-0.00211554,-0.02689437,1,4.71994614,0.57735027,20,12,1.00000000,1046.43827576,1057.41720294
2025-03-12,0.35869436,0.00775816,0.09703504,1,4.81702229,0.57735027,20,4,1.00000000,1054.58828768,1497.93371455
2025-03-14,-0.00768791,0.00542479,-0.03771743,1,4.67619650,0.57735027,20,11,1.00000000,1060.32475567,1046.51178985
2025-03-18,0.01572207,-0.00021215,-0.01696288,1,4.78263463,0.57735027,20,9,1.00000000,1060.09983171,1077.12699204
2025-03-20,0.01994292,-0.00024544,-0.02143195,1,4.70514508,0.57735027,20,11,1.00000000,1059.83967266,1081.45354214
2025-03-24,0.02660809,0.00420941,-0.00991635,1,4.52416087,0.57735027,20,11,1.00000000,1064.31037559,1088.41851237
2025-03-26,0.00854288,-0.00387642,-0.02220256,1,4.48784225,0.57735027,20,13,1.00000000,1060.19264567,1073.44159747
2025-03-28,0.02696686,-0.00210646,-0.01614874,1,4.57278651,0.57735027,20,11,1.00000000,1057.96174396,1089.17169762
2025-04-01,-0.00451400,0.00132282,-0.03810661,1,4.61395369,0.57735027,20,10,1.00000000,1059.36216161,1053.19686255
2025-04-03,0.00234802,-0.00904653,-0.03323158,1,4.72798914,0.57735027,20,11,1.00000000,1049.82182645,1061.85248909
2025-04-07,0.03387907,-0.00142882,-0.02157867,1,4.48178484,0.57735027,20,6,1.00000000,1048.32289195,1085.99816227
2025-04-09,0.02103633,0.02135280,-0.01516076,1,4.58637183,0.57735027,20,10,1.00000000,1070.94822075,1070.60934771
2025-04-11,0.05010264,0.00609865,-0.00679395,1,4.54890690,0.57735027,20,8,1.00000000,1077.49951971,1125.97247311
2025-04-15,0.06054430,0.00214742,0.01390311,1,4.28374981,0.57735027,20,7,1.00000000,1079.81585181,1144.75128348
2025-04-17,0.41171664,-0.00520475,0.19593999,1,4.42993855,0.57735027,20,1,1.00000000,1074.21027696,1629.88124935
2025-04-22,0.04489452,0.01683113,-0.01533688,1,4.50164088,0.57735027,20,8,1.00000000,1092.44346088,1123.53535494
2025-04-24,0.00452208,0.00568978,-0.03510019,1,4.41483975,0.57735027,20,9,1.00000000,1098.67693817,1097.39476954
2025-04-28,0.16771811,0.01043646,0.03437219,1,4.52662994,0.57735027,20,7,1.00000000,1110.20327544,1299.29886292
2025-04-30,0.03645315,0.00208949,-0.01822911,1,4.62936158,0.57735027,20,12,1.00000000,1112.52545637,1151.42036676
2025-05-02,0.00951835,-0.00061636,-0.02829091,1,4.67635693,0.57735027,20,10,1.00000000,1111.83995646,1123.16542518
2025-05-06,0.01328550,0.00124894,-0.02762821,1,4.88937996,0.57735027,20,9,1.00000000,1113.22944147,1126.70986986
2025-05-08,0.00849083,-0.00273586,-0.02905538,1,4.74518731,0.57735027,20,9,1.00000000,1110.18796864,1122.72192576
2025-05-12,0.01849947,0.00028325,-0.02725191,1,4.55048549,0.57735027,20,10,1.00000000,1110.50247279,1130.91700484
2025-05-14,-0.00428348,-0.00193414,-0.04046994,1,4.58324768,0.57735027,20,11,1.00000000,1108.35667817,1105.75582944
2025-05-16,0.01387939,0.00063929,-0.02452600,1,4.57335503,0.57735027,20,9,1.00000000,1109.06546862,1123.84724365
2025-05-20,0.03174157,-0.00251723,-0.02312499,1,4.59625008,0.57735027,20,8,1.00000000,1106.27720666,1144.83361002
2025-05-22,0.10173832,0.00323088,0.03292884,1,4.66288989,0.57735027,20,6,1.00000000,1109.85723128,1224.75255857
2025-05-27,0.00282782,0.00213409,-0.03201723,1,4.61868421,0.57735027,20,12,1.00000000,1112.22829200,1113.00015085
2025-05-29,-0.00003573,0.00162443,-0.03359129,1,4.73535783,0.57735027,20,10,1.00000000,1114.03649452,1112.18854738
2025-06-02,0.00127990,-0.00068489,-0.03182790,1,4.60474414,0.57735027,20,8,1.00000000,1113.27376618,1115.46326467
2025-06-04,0.04753629,0.00093912,-0.00071510,1,4.70020204,0.57735027,20,8,1.00000000,1114.31975573,1167.47267297
2025-06-06,0.02603030,-0.00316012,-0.01323479,1,4.55689209,0.57735027,20,7,1.00000000,1110.80392536,1143.70664834
2025-06-10,0.10804232,0.00469711,0.00969403,1,4.53877023,0.57735027,20,8,1.00000000,1116.03376646,1237.54098494
2025-06-12,-0.00276197,0.00163566,-0.03980442,1,4.73814200,0.57735027,20,5,1.00000000,1117.86071246,1112.95556469
2025-06-16,0.06088898,0.00199947,-0.02112421,1,4.65168613,0.57735027,20,8,1.00000000,1120.09807265,1188.04103825
2025-06-18,0.02296884,0.00049469,-0.02467750,1,4.46841493,0.57735027,20,9,1.00000000,1120.65231281,1146.12316632
2025-06-23,0.00164260,0.00156255,-0.03591297,1,4.44869734,0.57735027,20,4,1.00000000,1122.40475664,1122.49461070
2025-06-25,0.06191679,0.00290998,-0.02466148,1,4.65482035,0.57735027,20,12,1.00000000,1125.67568372,1194.09703606
2025-06-27,-0.00065962,-0.00031690,-0.03870048,1,4.48967942,0.57735027,20,5,1.00000000,1125.31901294,1124.93341115
2025-07-01,0.00719498,-0.00067409,-0.02939873,1,4.63383704,0.57735027,20,5,1.00000000,1124.56070208,1133.44485809
2025-07-03,0.01087478,-0.00070417,-0.02837919,1,4.73285114,0.57735027,20,8,1.00000000,1123.76910291,1136.85678751
2025-07-08,-0.00214437,-0.00064816,-0.03981848,1,4.73267263,0.57735027,20,6,1.00000000,1123.04095890,1121.36191013
2025-07-10,0.00757046,0.00005594,-0.03296415,1,4.81020193,0.57735027,20,6,1.00000000,1123.10378533,1131.57515847
2025-07-14,0.01797057,0.00009620,-0.01802203,1,4.68679467,0.57735027,20,5,1.00000000,1123.21182842,1143.46904423
2025-07-16,0.04838422,0.00105039,-0.01287974,1,4.68957099,0.57735027,20,8,1.00000000,1124.39225758,1178.89376261
2025-07-18,-0.01341600,0.00040893,-0.05751995,1,4.73159483,0.57735027,20,9,1.00000000,1124.85214646,1109.40815335
2025-07-22,-0.00472425,0.00239696,-0.04408883,1,4.72487008,0.57735027,20,9,1.00000000,1127.55160907,1119.55059672
2025-07-24,0.00523425,-0.00100058,-0.03556433,1,4.74284939,0.57735027,20,9,1.00000000,1126.42397276,1133.46896836
2025-07-28,0.00096636,-0.00126374,-0.03789210,1,4.67848171,0.57735027,20,8,1.00000000,1125.00136387,1127.51303392
