period;expected_portfolio_return;realized_portfolio_return;objective;is_robust;n_assets;n_invested;sum_w;;;
8.01.2025;0,07570864;0,01316868;0,07518096;0;40;1;100.000.000;;;
13.01.2025;0,05931446;-0,03269226;0,05327021;0;40;1;100.000.000;;;
15.01.2025;0,03881604;0,01044217;0,03753355;0;40;2;100.000.000;;;
17.01.2025;0,15814367;0,01270533;0,15174951;0;40;1;100.000.000;;;
22.01.2025;0,02119345;0,03112131;0,01711954;0;40;1;100.000.000;;;
24.01.2025;0,0197541;-0,00859951;0,01600568;0;40;3;100.000.000;;;
28.01.2025;0,0924985;0,00530897;0,08675745;0;40;2;100.000.000;;;
30.01.2025;0,06883847;0,01378672;0,06141282;0;40;1;100.000.000;;;
3.02.2025;0,13939624;0,00723444;0,13649529;0;40;1;100.000.000;;;
5.02.2025;0,02258733;-0,00024496;0,02073976;0;40;6;100.000.000;;;
7.02.2025;0,08094087;-0,01368091;0,06845134;0;40;2;100.000.000;;;
11.02.2025;0,0010655;-0,00305647;0,0003399;0;40;11;100.000.000;;;
13.02.2025;0,09395272;0,01499977;0,08666962;0;40;1;100.000.000;;;
18.02.2025;0,00884276;0,02414579;0,00480241;0;40;4;100.000.000;;;
20.02.2025;0,0260553;-0,04556092;0,02174956;0;40;2;100.000.000;;;
24.02.2025;0,05894298;0,01720847;0,05244474;0;40;1;100.000.000;;;
26.02.2025;0,03884585;-0,00863528;0,03568603;0;40;4;100.000.000;;;
28.02.2025;0,1071711;-0,00393658;0,10191781;0;40;1;100.000.000;1000;1000;
4.03.2025;0,09383788;-0,01971117;0,05973132;1;40;2;100.000.000;980,28883;980,481825;
6.03.2025;0,09828069;0,002619;0,07640463;1;40;1;100.000.000;982,8562064;983,0530725;
10.03.2025;0,05303833;-0,04240879;0,03060057;1;40;1;100.000.000;941,174464;942,234629;
12.03.2025;0,04699772;0,006067;0,02505983;1;40;2;100.000.000;946,8845695;947,9685428;
14.03.2025;0,17950754;0,01923251;0,16288963;1;40;1;100.000.000;965,0955364;966,3768084;
18.03.2025;0,03407722;0,00528152;0,02635775;1;40;4;100.000.000;970,1927078;971,4942489;
20.03.2025;0,05120703;0,00249693;0,039282;1;40;2;100.000.000;972,6152111;973,923033;
24.03.2025;0,05926668;-0,00489674;0,04044856;1;40;2;100.000.000;967,8525673;969,1656425;
26.03.2025;0,22348218;-0,02237449;0,1910713;1;40;1;100.000.000;946,1973597;947,7218471;
28.03.2025;0,05331634;0,01154286;0,04002852;1;40;2;100.000.000;957,1191833;958,7246474;
