alpha,p,w,top10,last_money
0.0,0.25,20,False,1901.3540879584236
0.0,0.5,20,False,1844.2329648387354
0.0,0.5,20,True,1738.5665095832562
0.0,0.8,20,True,1728.989763332308
0.0,0.25,20,True,1723.4106658218216
0.0,0.8,20,False,1720.005061790584
0.25,0.25,40,True,1200.7857186355425
0.25,0.5,40,True,1195.7822165718915
0.25,0.8,40,True,1180.0009724457316
0.25,0.25,60,True,1178.0925113932442
0.25,0.5,60,True,1172.292381214428
0.25,0.25,80,True,1169.5106956387483
0.25,0.8,60,True,1167.539024954464
0.25,0.5,80,True,1162.117327097241
0.25,0.8,80,True,1158.5085200326182
0.5,0.25,60,True,1158.2291527706523
0.5,0.5,60,True,1150.1847246189575
0.5,0.25,40,True,1148.5402228259004
0.5,0.25,80,True,1147.840059749357
0.5,0.5,40,True,1141.6429886739302
0.5,0.5,80,True,1141.0715138301919
0.25,0.25,80,False,1134.9656299458748
0.5,0.8,60,True,1132.530538549773
0.25,0.5,80,False,1128.755156119011
0.5,0.8,40,True,1127.71293185015
0.5,0.8,80,True,1127.1394710806983
0.25,0.25,60,False,1123.4245675669383
0.9,0.25,40,True,1121.511824356887
0.25,0.5,60,False,1118.157553839512
0.9,0.5,40,True,1116.0246915713942
0.25,0.8,80,False,1112.7536086298092
0.5,0.25,60,False,1110.881028180052
0.25,0.8,60,False,1108.1026845387175
0.5,0.5,60,False,1107.4784345918235
0.9,0.25,60,False,1106.0728209782721
0.9,0.8,40,True,1104.7779215240062
0.9,0.25,60,True,1103.5618488631108
0.9,0.5,60,False,1103.3708913640016
0.5,0.25,80,False,1100.4750459737993
0.5,0.8,60,False,1100.2171173357929
0.9,0.5,60,True,1098.8488910158362
0.9,0.8,60,False,1096.6100439534819
0.5,0.5,80,False,1095.7216902764292
0.25,0.25,40,False,1094.4966147457103
0.5,0.25,40,False,1093.1158443244872
0.25,0.5,40,False,1092.2859274930508
0.5,0.5,40,False,1090.9734669908767
0.9,0.25,40,False,1090.550350767225
0.25,0.25,20,True,1089.0957954300256
0.9,0.5,20,True,1089.029448724646
0.9,0.8,60,True,1089.009510037429
0.9,0.25,20,True,1088.994529833365
0.9,0.5,40,False,1088.7277388621458
0.25,0.5,20,True,1088.4267961504506
0.5,0.25,20,True,1088.1760961389987
0.5,0.5,20,True,1088.0611948873682
0.9,0.8,20,True,1087.9890278364303
0.25,0.8,40,False,1087.8125936433519
0.5,0.8,80,False,1087.451456981239
0.5,0.8,20,True,1087.3633951787017
0.5,0.8,40,False,1086.6372800351894
0.25,0.8,20,True,1086.5763217496494
0.9,0.25,80,False,1085.7462819752577
0.9,0.8,40,False,1084.862113593146
0.25,0.25,20,False,1084.2139258266327
0.9,0.25,20,False,1084.2127809590452
0.5,0.25,20,False,1084.2123886790619
0.9,0.5,20,False,1084.1392362531533
0.5,0.5,20,False,1084.1392140030257
0.25,0.5,20,False,1084.139073018873
0.5,0.8,20,False,1083.8253321348811
0.9,0.8,20,False,1083.8252398846753
0.25,0.8,20,False,1083.8250525049402
0.9,0.5,80,False,1083.7437218378009
0.9,0.25,80,True,1082.5165715913006
0.9,0.8,80,False,1079.7717565199475
0.9,0.5,80,True,1079.1348024069919
0.9,0.8,80,True,1071.9721537333871
