period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2024-01-08,0.00390112,0.02807557,0.00385782,0,0.00000000,0.57735027,40,2,1.00000000,1000.00000000,1000.00000000
2024-01-10,0.00334617,-0.00582862,0.00330608,0,0.00000000,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-01-12,0.00283794,0.00335891,0.00280255,0,0.00000000,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-01-17,0.00281043,0.00106642,0.00277781,0,0.00000000,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-01-19,0.00267188,0.01231893,0.00260948,0,0.00000000,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-01-23,0.00218564,0.00157037,0.00116084,0,0.00000000,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-01-25,0.00229410,0.00267355,0.00136000,0,0.00000000,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-01-29,0.00258655,0.00720543,0.00156382,0,0.00000000,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-01-31,0.00253833,-0.00953651,0.00133530,0,0.00000000,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-02-02,0.00200152,-0.00006293,0.00100885,0,0.00000000,0.57735027,40,16,1.00000000,1000.00000000,1000.00000000
2024-02-06,0.00227731,-0.00316537,0.00106670,0,0.00000000,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-02-08,0.00194434,-0.00204937,0.00098748,0,0.00000000,0.57735027,40,14,1.00000000,1000.00000000,1000.00000000
2024-02-12,0.00215775,-0.00000992,0.00112922,0,0.00000000,0.57735027,40,10,1.00000000,1000.00000000,1000.00000000
2024-02-14,0.00219959,0.00321014,0.00109417,0,0.00000000,0.57735027,40,16,1.00000000,1000.00000000,1000.00000000
2024-02-16,0.00224135,-0.00733156,0.00110378,0,0.00000000,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-02-21,0.00166242,-0.00544220,0.00059022,0,0.00000000,0.57735027,40,14,1.00000000,1000.00000000,1000.00000000
2024-02-23,0.00121145,0.00309143,0.00022370,0,0.00000000,0.57735027,40,14,1.00000000,1000.00000000,1000.00000000
2024-02-27,0.00153302,-0.00740692,0.00040095,0,0.00000000,0.57735027,40,20,1.00000000,1000.00000000,1000.00000000
2024-02-29,0.00047204,-0.00041159,-0.03877972,1,49.14222214,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-04,0.00049526,-0.00191967,-0.03977927,1,50.22068006,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-06,0.00046816,0.00087156,-0.04664310,1,56.13375661,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-03-08,0.00043754,-0.00056404,-0.05396639,1,66.25797215,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-03-12,0.00044165,-0.00043433,-0.05510706,1,67.02307024,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-03-14,0.00050268,-0.00243680,-0.03846765,1,47.05284642,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-03-18,0.00049552,0.00062229,-0.05148576,1,61.71203715,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-20,0.00084499,0.00449165,-0.04574312,1,68.03949214,0.57735027,40,13,1.00000000,1000.00000000,1000.00000000
2024-03-22,0.00082179,-0.00218585,-0.06204156,1,75.76441119,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-03-26,0.00071245,-0.00089795,-0.05325104,1,75.64849101,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-28,0.00061942,0.00059443,-0.04950013,1,70.32381260,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-04-02,0.00101390,0.00121190,-0.04539357,1,69.74254252,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-04-04,0.00082238,0.00044110,-0.04114249,1,71.39758511,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-04-08,0.00090179,-0.00039557,-0.02962892,1,66.29412216,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-04-10,0.00082389,-0.00329102,-0.02533858,1,52.03411410,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-04-12,0.00061096,-0.00199826,-0.03684836,1,52.16735442,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-04-16,0.00035196,-0.00050591,-0.03499052,1,49.74242529,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-04-18,0.00041860,0.00147243,-0.03786502,1,53.90405285,0.57735027,40,10,1.00000000,1000.00000000,1000.00000000
2024-04-22,0.00029440,0.00151623,-0.04241923,1,57.38058880,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-04-24,0.00031229,0.00124529,-0.04764066,1,64.84869275,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-04-26,0.00042024,-0.00009265,-0.04559226,1,59.71083467,0.57735027,40,11,1.00000000,1000.00000000,1000.00000000
2024-04-30,0.00033544,-0.00523245,-0.04547654,1,60.41989133,0.57735027,40,12,1.00000000,1000.00000000,1000.00000000
2024-05-02,0.00045322,0.00187994,-0.05692618,1,60.92339025,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-06,0.00053701,0.00105496,-0.06056946,1,61.33270047,0.57735027,40,10,1.00000000,1000.00000000,1000.00000000
2024-05-08,0.00053279,-0.00027643,-0.05770665,1,58.12038823,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-10,0.00043602,0.00075159,-0.06577635,1,66.39097535,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-14,0.00037158,0.00081548,-0.06389960,1,66.24618970,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-16,0.00043949,0.00318926,-0.07424338,1,75.97104482,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-05-20,0.00043807,0.00048606,-0.07404123,1,81.07301715,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-22,0.00043246,-0.00107478,-0.07402235,1,81.03907174,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-24,0.00041286,0.00015668,-0.07217573,1,77.82841337,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-05-29,0.00036355,-0.00156719,-0.07424234,1,79.61666878,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-31,0.00027759,0.00271025,-0.07575776,1,79.93297716,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-06-04,0.00023394,0.00055949,-0.07627884,1,70.46839147,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-06-06,0.00022135,0.00199664,-0.07609488,1,70.46889761,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-06-10,0.00000116,0.00018993,-0.04571619,1,64.79873127,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-06-12,0.00002747,0.00152210,-0.03375979,1,47.39734156,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-14,0.00007776,0.00010017,-0.03294927,1,45.72525731,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-06-18,0.00003888,0.00170852,-0.03399062,1,47.85033030,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-06-21,0.00006903,0.00032912,-0.02968079,1,37.50064909,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-25,0.00005637,-0.00057720,-0.04083382,1,53.49254506,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-27,0.00004127,0.00102029,-0.03803420,1,48.72052407,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-07-01,0.00013510,-0.00009014,-0.03917876,1,53.35374654,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-07-03,0.00013823,0.00159210,-0.03783073,1,54.52321455,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-08,0.00015169,-0.00061379,-0.04071811,1,55.39199236,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-07-10,0.00007231,0.00097506,-0.04020390,1,54.60166675,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-12,0.00008761,0.00106188,-0.04533483,1,67.13722514,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-07-16,0.00011995,-0.00004603,-0.04880366,1,71.39594215,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-18,0.00009859,-0.00105939,-0.03988790,1,60.71580093,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-07-22,0.00005091,0.00012229,-0.04387205,1,61.65159637,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-07-24,0.00003644,0.00047019,-0.04352155,1,66.62906609,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-07-26,0.00001773,0.00132048,-0.03865816,1,59.46678524,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-07-30,0.00007238,-0.00287806,-0.03409964,1,54.99833225,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-01,0.00003424,-0.00038232,-0.03398335,1,54.71765570,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-08-05,0.00005073,-0.00138781,-0.03210344,1,51.45439044,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-08-07,0.00006927,-0.00067437,-0.03628524,1,51.85159559,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-09,0.00002631,0.00027035,-0.05318076,1,72.05693372,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-13,0.00005905,0.00173021,-0.04544577,1,63.24914508,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-15,0.00010696,-0.00211407,-0.04392116,1,56.82474223,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-19,0.00008268,0.00003501,-0.04058172,1,49.58412013,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-21,0.00008616,0.00139215,-0.04100177,1,50.05959756,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-23,0.00012305,0.00249509,-0.03634314,1,43.21780308,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-27,0.00020131,0.00050067,-0.04293446,1,44.62277900,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-29,0.00021857,0.00014997,-0.04777168,1,52.28353163,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-09-03,0.00021767,0.00064297,-0.04284799,1,48.27790800,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-09-05,0.00024710,0.00005958,-0.04477275,1,51.46833422,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-09-09,0.00024729,0.00058168,-0.04499659,1,51.50650394,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-09-11,0.00024769,-0.00083195,-0.04459633,1,52.16599250,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-09-13,0.00021300,0.00190246,-0.04351605,1,48.07709956,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-09-17,0.00023021,-0.00126586,-0.04417370,1,48.63486687,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-09-19,0.00019278,0.00066366,-0.04832610,1,49.57083039,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-09-23,0.00021975,0.00049833,-0.04940401,1,50.74137230,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-09-25,0.00023125,-0.00094924,-0.05230288,1,56.24004988,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-09-27,0.00021213,0.00167290,-0.05318368,1,54.31086170,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-10-01,0.00027877,0.00072536,-0.05346621,1,54.32322523,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-10-03,0.00037635,-0.00162809,-0.08619914,1,96.28014361,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-10-07,0.00037281,-0.00230839,-0.07826592,1,82.06862379,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-10-09,0.00030577,0.00022793,-0.09825410,1,90.68396640,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-10-11,0.00031446,0.00118409,-0.09351115,1,92.95293190,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-10-15,0.00032593,0.00009555,-0.08594324,1,91.21657615,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-10-17,0.00032321,-0.00095816,-0.08039278,1,85.17154639,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-10-21,0.00028869,-0.00139572,-0.08328163,1,86.10704961,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-10-23,0.00029016,-0.00068948,-0.07845376,1,88.24583252,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-10-25,0.00024884,-0.00088638,-0.07945805,1,89.08963597,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-10-29,0.00022467,0.00017556,-0.07788696,1,85.70128626,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-10-31,0.00021894,0.00031220,-0.07414871,1,82.30234266,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-11-04,0.00023741,0.00047216,-0.06901201,1,76.67590066,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-11-06,0.00023695,-0.00021644,-0.07166945,1,80.58891853,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-11-08,0.00024161,-0.00066256,-0.07299970,1,82.21753035,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-11-12,0.00024261,-0.00100133,-0.06405538,1,84.96934440,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-11-14,0.00024495,-0.00176327,-0.06184043,1,83.05241356,0.57735027,40,5,1.00000000,1000.00000000,1000.00000000
2024-11-18,0.00019828,0.00140201,-0.06444367,1,86.32423917,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-11-20,0.00023041,0.00013722,-0.06526819,1,79.78191228,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-11-22,0.00020102,0.00014167,-0.06585369,1,80.19113634,0.57735027,40,4,1.00000000,1000.00000000,1000.00000000
2024-11-26,0.00017143,0.00047131,-0.05263638,1,71.48475008,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-11-29,0.00016798,0.00131867,-0.05203070,1,71.24633238,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-12-03,0.00019521,-0.00006766,-0.04531964,1,58.85503892,0.57735027,40,6,1.00000000,1000.00000000,1000.00000000
2024-12-05,0.00017346,-0.00013769,-0.04698882,1,68.93963818,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-12-09,0.00016468,-0.00053944,-0.03778746,1,55.77607817,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-12-11,0.00013483,-0.00040637,-0.03461573,1,55.41506144,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-12-13,0.00012538,-0.00076313,-0.03458204,1,55.27076991,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-12-17,0.00008317,0.00013542,-0.03581304,1,57.86732753,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-12-19,0.00006216,0.00105715,-0.03778103,1,75.10161672,0.57735027,40,7,1.00000000,1000.00000000,1000.00000000
2024-12-23,0.00010758,-0.00055415,-0.02658170,1,52.27870317,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2024-12-26,0.00005350,0.00074809,-0.02326718,1,48.12520585,0.57735027,40,8,1.00000000,1000.00000000,1000.00000000
2024-12-30,0.00008551,0.00011111,-0.02400091,1,47.20373359,0.57735027,40,9,1.00000000,1000.00000000,1000.00000000
2025-01-02,0.00003426,-0.00037704,-0.01953621,1,39.14345132,0.57735027,40,9,1.00000000,999.62302778,1000.03425965
2025-01-06,0.00003300,-0.00003543,-0.01875656,1,37.45161077,0.57735027,40,9,1.00000000,999.58761194,999.65601338
2025-01-08,0.00002977,0.00001172,-0.02080764,1,41.81456677,0.57735027,40,10,1.00000000,999.59932797,999.61737020
2025-01-13,0.00005708,0.00069555,-0.01963497,1,39.74474757,0.57735027,40,10,1.00000000,1000.29483869,999.65638429
2025-01-15,0.00001899,0.00299321,-0.01317525,1,30.35716867,0.57735027,40,10,1.00000000,1003.29341947,1000.31382986
2025-01-17,0.00008606,-0.00070709,-0.02220229,1,36.43122055,0.57735027,40,8,1.00000000,1002.58425520,1003.37976377
2025-01-22,0.00009068,-0.00060923,-0.01957672,1,31.77737219,0.57735027,40,9,1.00000000,1001.97363922,1002.67517339
2025-01-24,0.00010025,0.00069534,-0.01710362,1,26.87701146,0.57735027,40,8,1.00000000,1002.67059417,1002.07409523
2025-01-28,0.00009668,0.00114057,-0.01631825,1,27.06437640,0.57735027,40,7,1.00000000,1003.81486347,1002.76754031
