t0,t1,asset,weight,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust
2023-02-21,2023-02-28,bonds:EMB,0.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:HYG,0.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:IEF,0.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:LQD,0.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:SHY,1.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:TIP,0.0,-96,0,-0.10511401510740007,0
2023-02-21,2023-02-28,bonds:TLT,0.0,-96,0,-0.10511401510740007,0
2023-02-28,2023-03-07,bonds:EMB,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:HYG,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:IEF,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:LQD,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:SHY,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:TIP,0.0,368,13,0.29461454368179546,0
2023-02-28,2023-03-07,bonds:TLT,1.0,368,13,0.29461454368179546,0
2023-03-07,2023-03-14,bonds:EMB,0.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:HYG,0.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:IEF,1.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:LQD,0.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:SHY,0.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:TIP,0.0,62,27,0.022969105662454154,0
2023-03-07,2023-03-14,bonds:TLT,0.0,62,27,0.022969105662454154,0
2023-03-14,2023-03-21,bonds:EMB,0.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:HYG,0.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:IEF,0.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:LQD,0.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:SHY,1.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:TIP,0.0,32,-4,0.021719288605445423,0
2023-03-14,2023-03-21,bonds:TLT,0.0,32,-4,0.021719288605445423,0
2023-03-21,2023-03-28,bonds:EMB,1.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:HYG,0.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:IEF,0.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:LQD,0.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:SHY,0.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:TIP,0.0,91,-9,0.03229629913557588,0
2023-03-21,2023-03-28,bonds:TLT,0.0,91,-9,0.03229629913557588,0
2023-03-28,2023-04-04,bonds:EMB,1.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:HYG,0.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:IEF,0.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:LQD,0.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:SHY,0.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:TIP,0.0,171,18,0.11238488952556583,0
2023-03-28,2023-04-04,bonds:TLT,0.0,171,18,0.11238488952556583,0
2023-04-04,2023-04-12,bonds:EMB,0.0,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:HYG,0.5005900020519951,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:IEF,0.0,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:LQD,0.0,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:SHY,0.4994099979480049,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:TIP,0.0,91,1,0.06693132891217678,0
2023-04-04,2023-04-12,bonds:TLT,0.0,91,1,0.06693132891217678,0
2023-04-12,2023-04-19,bonds:EMB,1.0,380,-13,0.32208626953056546,0
