t0,t1,asset,weight,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust
2023-02-21,2023-02-28,bonds:EMB,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:HYG,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:IEF,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:LQD,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:SHY,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:TIP,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,bonds:TLT,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,commodities:GC=F,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,commodities:HG=F,0.0,266,-32,0.14297376394912426,0
2023-02-21,2023-02-28,commodities:SI=F,1.0,266,-32,0.14297376394912426,0
2023-02-28,2023-03-07,bonds:EMB,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:HYG,1.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:IEF,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:LQD,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:SHY,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:TIP,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,bonds:TLT,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,commodities:GC=F,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,commodities:HG=F,0.0,237,4,0.191496273260091,0
2023-02-28,2023-03-07,commodities:SI=F,0.0,237,4,0.191496273260091,0
2023-03-07,2023-03-14,bonds:EMB,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:HYG,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:IEF,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:LQD,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:SHY,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:TIP,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,bonds:TLT,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,commodities:GC=F,0.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,commodities:HG=F,1.0,677,-7,0.5853190637550413,0
2023-03-07,2023-03-14,commodities:SI=F,0.0,677,-7,0.5853190637550413,0
2023-03-14,2023-03-21,bonds:EMB,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:HYG,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:IEF,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:LQD,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:SHY,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:TIP,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,bonds:TLT,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,commodities:GC=F,0.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,commodities:HG=F,1.0,1081,41,0.9896776012477937,0
2023-03-14,2023-03-21,commodities:SI=F,0.0,1081,41,0.9896776012477937,0
2023-03-21,2023-03-28,bonds:EMB,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:HYG,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:IEF,1.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:LQD,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:SHY,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:TIP,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,bonds:TLT,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,commodities:GC=F,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,commodities:HG=F,0.0,405,-6,0.36604686006451453,0
2023-03-21,2023-03-28,commodities:SI=F,0.0,405,-6,0.36604686006451453,0
2023-03-28,2023-04-04,bonds:EMB,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:HYG,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:IEF,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:LQD,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:SHY,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:TIP,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,bonds:TLT,1.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,commodities:GC=F,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,commodities:HG=F,0.0,542,29,0.47112367540754896,0
2023-03-28,2023-04-04,commodities:SI=F,0.0,542,29,0.47112367540754896,0
2023-04-04,2023-04-12,bonds:EMB,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:HYG,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:IEF,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:LQD,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:SHY,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:TIP,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,bonds:TLT,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,commodities:GC=F,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,commodities:HG=F,0.0,1179,17,1.0498749335935245,0
2023-04-04,2023-04-12,commodities:SI=F,1.0,1179,17,1.0498749335935245,0
2023-04-12,2023-04-19,bonds:EMB,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:HYG,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:IEF,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:LQD,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:SHY,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:TIP,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,bonds:TLT,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,commodities:GC=F,0.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,commodities:HG=F,1.0,314,-12,0.22057092907795361,0
2023-04-12,2023-04-19,commodities:SI=F,0.0,314,-12,0.22057092907795361,0
2023-04-19,2023-04-26,bonds:EMB,0.0,129,0,0.09773121878220209,0
2023-04-19,2023-04-26,bonds:HYG,0.0,129,0,0.09773121878220209,0
