t0,t1,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust,n_assets,sum_w
2023-02-21,2023-02-28,23,-32,-0.09995375068917191,0,3,1.0
2023-02-28,2023-03-07,215,-13,0.1551580235338188,0,3,1.0
2023-03-07,2023-03-14,-21,42,-0.08164075059254342,0,3,1.0
2023-03-14,2023-03-21,1028,24,0.9000130201371531,0,3,1.0
2023-03-21,2023-03-28,175,10,0.08302238875223451,0,3,1.0
2023-03-28,2023-04-04,847,-32,0.7544678860909368,0,3,1.0
2023-04-04,2023-04-12,747,17,0.6180891003065381,0,3,1.0
2023-04-12,2023-04-19,230,-12,0.13685024905316065,0,3,1.0
2023-04-19,2023-04-26,31,-10,-0.02709524428959802,0,3,1.0
2023-04-26,2023-05-03,37,-8,-0.058464554653562345,0,3,1.0
2023-05-03,2023-05-10,592,-22,0.4648301654360521,0,3,1.0
2023-05-10,2023-05-17,306,12,0.21349607112343783,0,3,1.0
2023-05-17,2023-05-24,391,-33,0.30028583860596975,0,3,1.0
2023-05-24,2023-06-01,375,34,0.28192191986082854,0,3,1.0
2023-06-01,2023-06-08,204,25,0.07975954027300988,0,3,1.0
2023-06-08,2023-06-15,77,-2,0.020973197423423733,0,3,1.0
2023-06-15,2023-06-23,177,-20,0.08608539652375788,0,3,1.0
2023-06-23,2023-06-30,680,-12,0.5897520095826503,0,3,1.0
2023-06-30,2023-07-10,80,1,0.023488902061792518,0,3,1.0
2023-07-10,2023-07-17,512,73,0.38340200741507624,0,3,1.0
2023-07-17,2023-07-24,410,-4,0.1551881481582786,1,3,0.9999999999999999
2023-07-24,2023-07-31,786,7,0.2444169699070161,1,3,1.0
2023-07-31,2023-08-07,394,-22,0.02377324912674566,1,3,1.0
2023-08-07,2023-08-14,36,-6,-0.1919296315519649,1,3,1.0
2023-08-14,2023-08-21,-66,-4,-0.2949434424954246,1,3,0.9999999999999999
2023-08-21,2023-08-28,249,14,0.0038592184400671257,1,3,1.0
2023-08-28,2023-09-05,308,4,-0.008139013068133154,1,3,1.0
2023-09-05,2023-09-12,-45,-3,-0.24686053615756698,1,3,1.0
2023-09-12,2023-09-19,197,8,-0.15661279006212736,1,3,0.9999999999999999
2023-09-19,2023-09-26,-132,-28,-0.3564579041332719,1,3,1.0
2023-09-26,2023-10-03,194,-3,-0.12280137188664456,1,3,1.0
2023-10-03,2023-10-10,940,38,0.3883802912355204,1,3,1.0
2023-10-10,2023-10-17,34,26,-0.1808910060084287,1,3,1.0
2023-10-17,2023-10-24,387,7,0.04890681791729946,1,3,1.0
2023-10-24,2023-10-31,309,19,-0.03115120255165308,1,3,1.0
2023-10-31,2023-11-07,42,4,-0.25256617204727977,1,3,1.0
2023-11-07,2023-11-14,194,11,-0.13677545363739776,1,3,1.0
2023-11-14,2023-11-21,-83,24,-0.319245104951118,1,3,1.0
2023-11-21,2023-11-28,333,10,0.06412926988259335,1,3,1.0
2023-11-28,2023-12-05,489,-14,0.19017671205670272,1,3,1.0
2023-12-05,2023-12-12,-74,7,-0.288160593617813,1,3,1.0
2023-12-12,2023-12-19,673,60,0.061219796580575914,1,3,1.0
2023-12-19,2023-12-27,13,16,-0.15481598232406668,1,3,1.0
2023-12-27,2024-01-04,420,-21,0.14394819795958796,1,3,1.0
2024-01-04,2024-01-11,144,-4,-0.12914805709390798,1,3,1.0
2024-01-11,2024-01-19,306,7,0.058889620770141975,1,3,1.0
2024-01-19,2024-01-26,-39,9,-0.22883179567843187,1,3,0.9999999999999999
2024-01-26,2024-02-02,163,-14,-0.10006927819617317,1,3,1.0
2024-02-02,2024-02-09,-203,-11,-0.3940047474513757,1,3,1.0
